Active users,New users,Message rate,Media sharing,Spam ratio,User sentiment,Server load,Time of day,Latency,Bandwidth usage,Traffic state,Optimal Route,Message type
7940,638,775,0.17,0.05,positive,10,Morning,31,50.16,Medium,Route B,text
44497,132,1336,0.27,0.04,positive,38,Night,23,245.64,Low,Route A,text
609,11,14,0.35,0.03,positive,10,Night,26,43.34,Low,Route A,image
40617,3670,3292,0.16,0.17,negative,51,Evening,53,261.47,Medium,Route C,image
824,81,97,0.21,0.04,neutral,10,Evening,15,37.78,Low,Route A,text
7768,284,1263,0.34,0.03,neutral,26,Evening,180,96.54,High,Route C,image
15954,952,787,0.24,0.04,positive,28,Night,57,121.69,High,Route C,text
49320,4075,8150,0.56,0.06,neutral,79,Morning,63,379.07,Low,Route A,text
37632,3401,824,0.58,0.14,negative,43,Morning,22,258.3,Low,Route A,text
33725,1797,2747,0.32,0.05,positive,31,Morning,84,234.3,Medium,Route B,text
5642,548,542,0.46,0.25,negative,10,Afternoon,33,78.05,Low,Route C,spam
2479,169,391,0.17,0.14,negative,10,Afternoon,35,26.49,Medium,Route B,image
1537,31,167,0.19,0.23,negative,13,Afternoon,14,23.05,Low,Route A,text
49611,2320,6501,0.4,0.05,neutral,75,Morning,236,360.09,High,Route A,text
28356,146,3010,0.52,0.02,positive,23,Morning,108,235.93,High,Route C,image
12024,921,1368,0.39,0.03,neutral,30,Afternoon,37,125.08,Low,Route A,text
13983,1003,1649,0.24,0.04,neutral,28,Evening,41,102.75,High,Route C,text
34523,1571,5229,0.49,0.24,negative,62,Morning,115,285.13,High,Route C,text
28198,591,2357,0.42,0.03,positive,35,Morning,55,218.77,Medium,Route C,text
35749,2094,2494,0.6,0.12,negative,58,Afternoon,72,252.98,Medium,Route A,video
19482,1232,2242,0.31,0.09,neutral,14,Evening,79,168.98,High,Route C,image
40651,518,4942,0.27,0.11,negative,68,Evening,91,296.61,High,Route A,image
32484,2164,5345,0.39,0.03,positive,44,Morning,118,268.22,High,Route A,text
19616,1907,3316,0.43,0.04,positive,30,Evening,146,172.86,High,Route C,text
24456,804,4220,0.59,0.24,negative,39,Morning,23,234.74,Low,Route A,text
2297,29,81,0.33,0.03,positive,12,Night,37,40.35,Low,Route A,video
36953,1247,3425,0.43,0.07,neutral,51,Afternoon,179,254.17,High,Route C,text
18935,76,3090,0.13,0.09,neutral,34,Evening,31,125.82,Medium,Route A,text
13924,1008,2599,0.12,0.06,neutral,24,Morning,59,99.6,High,Route B,text
13117,597,1185,0.09,0.06,neutral,12,Evening,51,74.54,Medium,Route C,text
37823,713,2222,0.11,0.04,positive,42,Night,86,213.22,Medium,Route C,text
37686,3631,2263,0.2,0.04,neutral,37,Night,58,213.61,Medium,Route A,text
17507,1452,1855,0.49,0.06,neutral,37,Afternoon,76,170.49,Medium,Route C,text
34177,3262,5097,0.59,0.07,neutral,44,Evening,107,274.35,High,Route C,text
47874,4768,6226,0.09,0.14,negative,64,Evening,28,322.85,Low,Route A,image
19868,1735,509,0.59,0.06,neutral,10,Afternoon,35,150.68,Low,Route C,image
9638,507,1206,0.06,0.23,negative,19,Night,106,85.74,High,Route C,video
8632,438,869,0.2,0.06,neutral,10,Night,54,59.08,Medium,Route B,image
30190,1716,2131,0.37,0.02,positive,33,Night,64,190.14,Medium,Route A,image
25846,2015,4693,0.48,0.04,positive,28,Night,31,217.58,Medium,Route B,image
12027,483,1559,0.14,0.2,negative,25,Morning,136,84.96,High,Route C,text
40556,1380,2425,0.3,0.16,negative,47,Night,36,273.21,Low,Route A,image
47775,486,1415,0.51,0.1,neutral,59,Night,171,307.72,High,Route C,text
955,43,111,0.5,0.03,positive,15,Night,21,49.47,Low,Route A,text
6089,167,964,0.53,0.2,negative,17,Evening,29,80.54,Medium,Route A,text
36567,3155,4583,0.55,0.02,positive,65,Night,174,275.31,High,Route C,image
19318,496,575,0.43,0.07,neutral,12,Morning,40,131.06,Medium,Route A,image
6494,604,963,0.07,0.02,positive,10,Evening,17,37.25,Low,Route A,text
698,67,86,0.16,0.08,neutral,10,Afternoon,50,34.89,High,Route C,text
12432,526,2029,0.06,0.05,neutral,14,Afternoon,23,104.18,Medium,Route A,video
48226,1989,8987,0.14,0.03,neutral,76,Afternoon,54,341.93,Low,Route A,text
36126,3198,6390,0.4,0.05,neutral,63,Morning,137,280.58,High,Route C,text
22046,108,1996,0.1,0.1,negative,13,Night,59,134.97,High,Route C,text
18011,651,1645,0.16,0.22,negative,34,Morning,43,134.19,Medium,Route A,spam
20632,395,2807,0.13,0.05,positive,27,Afternoon,133,145.89,High,Route C,text
33784,527,4360,0.5,0.09,negative,49,Night,81,277.44,Medium,Route C,text
33475,2433,4881,0.28,0.1,negative,43,Morning,55,248.61,Medium,Route B,text
5298,490,977,0.29,0.2,negative,10,Morning,46,48.79,High,Route C,spam
857,24,133,0.08,0.04,neutral,10,Night,95,30.73,High,Route C,text
38168,1869,6306,0.24,0.21,negative,45,Morning,56,259.87,Medium,Route C,text
37118,3225,7345,0.2,0.05,neutral,56,Morning,101,269.93,High,Route C,video
3730,316,146,0.31,0.05,positive,13,Afternoon,44,32.11,Medium,Route B,text
5933,285,234,0.39,0.01,positive,10,Afternoon,84,69.55,High,Route C,image
45806,2292,6844,0.57,0.01,positive,54,Night,51,344.18,Low,Route B,image
43038,1571,6715,0.22,0.15,negative,71,Afternoon,87,298.77,Medium,Route C,text
4631,409,209,0.11,0.07,neutral,13,Morning,36,23.55,Low,Route A,spam
41948,3556,6683,0.28,0.08,negative,73,Afternoon,98,323.51,High,Route C,spam
25485,399,3096,0.31,0.12,negative,31,Afternoon,62,183.38,Medium,Route C,text
44944,1267,4732,0.58,0.02,positive,47,Morning,33,326.53,Low,Route A,image
23576,216,4173,0.15,0.25,negative,31,Afternoon,46,166.51,Low,Route A,spam
13948,61,619,0.51,0.05,neutral,10,Night,38,133.12,High,Route C,spam
32834,3006,1073,0.44,0.05,positive,35,Evening,51,235.99,High,Route C,text
41675,852,6376,0.53,0.02,positive,63,Night,148,341.42,High,Route B,video
1450,16,278,0.29,0.03,positive,10,Afternoon,116,55.78,High,Route C,text
36535,1679,5433,0.08,0.2,negative,48,Evening,24,242.88,Low,Route A,image
42053,172,3977,0.14,0.08,neutral,39,Night,55,266.0,Medium,Route C,text
5825,545,927,0.38,0.04,positive,16,Evening,30,87.79,Low,Route A,text
42798,211,7199,0.29,0.05,positive,51,Morning,60,305.13,Low,Route A,text
13411,1328,540,0.46,0.04,positive,28,Night,34,130.63,Low,Route A,image
23878,621,981,0.14,0.04,positive,23,Afternoon,87,132.2,High,Route C,image
46050,4277,2937,0.25,0.06,neutral,64,Night,130,265.83,High,Route C,video
42051,2752,2529,0.24,0.11,negative,51,Night,33,269.68,Low,Route A,image
2077,50,96,0.13,0.02,positive,10,Afternoon,35,14.19,Medium,Route A,image
30561,862,4552,0.05,0.1,neutral,29,Afternoon,28,219.39,Low,Route A,text
12188,675,2380,0.22,0.22,negative,20,Morning,47,88.85,High,Route A,spam
1529,148,194,0.49,0.19,negative,10,Evening,100,63.94,High,Route C,text
14575,374,379,0.23,0.02,positive,28,Evening,41,117.94,Low,Route A,video
1001,85,107,0.23,0.02,positive,15,Night,76,12.61,Medium,Route A,text
43489,4283,4314,0.35,0.04,neutral,47,Afternoon,138,275.82,High,Route C,text
37981,1173,5646,0.44,0.15,negative,47,Afternoon,62,292.95,High,Route C,spam
33520,1027,6432,0.6,0.04,positive,50,Night,49,281.86,Medium,Route A,text
41286,2035,7875,0.39,0.1,neutral,73,Morning,73,312.63,Medium,Route B,spam
14507,335,2553,0.13,0.14,negative,10,Evening,35,120.32,Medium,Route B,video
24037,463,514,0.23,0.04,neutral,29,Night,129,143.8,High,Route C,image
12476,261,733,0.35,0.02,positive,24,Afternoon,45,103.34,Medium,Route A,text
20059,1703,1745,0.37,0.02,positive,38,Night,85,136.84,High,Route C,image
17449,843,2282,0.44,0.09,negative,25,Night,90,154.09,High,Route C,image
6340,593,986,0.49,0.03,positive,10,Morning,11,75.08,Low,Route B,text
28225,244,1668,0.47,0.1,neutral,19,Afternoon,48,204.05,Low,Route B,spam
12331,211,515,0.53,0.03,positive,10,Morning,14,139.44,Low,Route A,text
24950,1243,3082,0.52,0.06,neutral,24,Afternoon,154,223.08,High,Route C,text
46170,2066,7312,0.56,0.03,positive,76,Evening,91,361.28,Medium,Route B,video
28362,1397,5274,0.15,0.02,positive,33,Afternoon,54,209.32,Medium,Route B,image
6257,76,1085,0.06,0.2,negative,10,Afternoon,54,37.05,Medium,Route C,spam
17307,45,2426,0.26,0.02,positive,32,Night,59,138.88,Medium,Route C,text
25105,1515,4048,0.47,0.11,negative,48,Morning,36,219.98,Medium,Route B,image
10963,1044,798,0.13,0.04,neutral,10,Night,38,63.35,Low,Route A,text
33256,2713,4386,0.22,0.21,negative,41,Morning,78,216.57,Medium,Route A,image
20272,419,1983,0.58,0.02,positive,36,Morning,58,186.37,High,Route C,text
33618,2131,3008,0.43,0.09,negative,34,Afternoon,24,245.76,Low,Route C,image
31037,436,6178,0.23,0.03,positive,52,Afternoon,23,246.65,Low,Route C,text
30741,617,6040,0.13,0.01,positive,56,Evening,35,226.77,Low,Route A,text
36246,1522,2945,0.39,0.04,positive,34,Morning,86,240.62,High,Route A,text
29908,560,2092,0.42,0.01,positive,39,Morning,143,229.79,High,Route C,text
23177,2075,1400,0.37,0.04,positive,41,Evening,111,167.65,High,Route C,spam
24837,1746,4101,0.49,0.08,negative,34,Evening,65,203.0,High,Route C,text
5957,73,1179,0.37,0.02,positive,17,Night,75,61.82,High,Route B,image
28642,1343,3015,0.06,0.14,negative,24,Night,41,173.65,Medium,Route A,video
18515,623,985,0.06,0.04,positive,31,Morning,22,107.62,Low,Route A,text
20339,225,413,0.47,0.19,negative,26,Evening,37,171.66,Medium,Route C,text
19142,91,1175,0.39,0.05,neutral,15,Morning,86,130.79,High,Route C,text
20893,599,3303,0.4,0.2,negative,33,Evening,56,177.05,Medium,Route A,image
49588,2183,7758,0.23,0.02,positive,61,Afternoon,73,364.8,Medium,Route A,text
11336,39,252,0.5,0.1,neutral,10,Night,63,99.53,High,Route C,spam
24572,1979,3920,0.27,0.04,neutral,25,Night,62,208.73,High,Route A,video
17717,809,3111,0.05,0.02,positive,34,Afternoon,96,127.08,High,Route C,text
17066,460,703,0.45,0.1,neutral,30,Evening,47,118.01,Low,Route A,text
23498,1478,3948,0.53,0.04,neutral,48,Morning,53,210.98,Low,Route A,text
6178,91,319,0.29,0.22,negative,10,Evening,91,78.92,High,Route C,spam
40767,3793,958,0.51,0.13,negative,35,Afternoon,31,256.64,Low,Route A,text
19743,618,3503,0.33,0.11,negative,16,Night,26,171.45,Low,Route A,text
26213,2146,3378,0.33,0.1,neutral,47,Afternoon,48,195.4,Low,Route B,text
15023,537,2562,0.58,0.14,negative,13,Evening,26,152.91,Low,Route A,video
19302,104,900,0.45,0.06,neutral,18,Evening,59,149.49,High,Route C,text
21926,189,2995,0.31,0.18,negative,38,Night,78,178.03,High,Route C,text
32267,1394,3591,0.48,0.24,negative,28,Night,65,253.22,High,Route B,image
40313,1389,6186,0.21,0.03,neutral,73,Morning,56,270.97,Low,Route A,text
25917,2471,2951,0.48,0.2,negative,21,Evening,56,188.46,Medium,Route A,image
4256,364,646,0.35,0.1,negative,10,Morning,24,52.77,Low,Route A,text
14846,79,1170,0.43,0.06,neutral,10,Morning,131,139.83,High,Route C,text
20182,237,2164,0.31,0.07,neutral,17,Morning,24,134.3,Low,Route A,text
29099,2772,4923,0.06,0.05,positive,35,Afternoon,84,212.19,High,Route C,video
10713,1061,776,0.51,0.13,negative,25,Night,56,97.12,Medium,Route B,text
13102,709,1461,0.13,0.05,positive,21,Morning,43,92.01,Low,Route A,text
49995,3271,3069,0.5,0.03,positive,47,Evening,34,332.02,Low,Route C,text
23459,156,1644,0.42,0.22,negative,22,Night,31,177.84,Medium,Route B,text
18350,575,3237,0.09,0.04,neutral,19,Afternoon,127,137.58,High,Route C,text
31230,114,5070,0.11,0.04,positive,53,Morning,93,223.92,Medium,Route C,text
14958,1195,783,0.09,0.14,negative,10,Morning,22,97.01,Low,Route A,text
14957,1157,1771,0.06,0.16,negative,25,Morning,123,94.02,High,Route A,text
18452,121,1381,0.53,0.02,positive,33,Evening,113,146.3,High,Route A,text
17449,1120,1163,0.24,0.08,neutral,23,Evening,55,108.97,Medium,Route A,text
34682,2648,2616,0.39,0.04,neutral,56,Afternoon,159,234.62,High,Route C,image
19051,1698,2977,0.08,0.18,negative,34,Night,30,116.48,Low,Route A,image
49804,1991,9215,0.06,0.02,positive,63,Evening,105,343.52,Medium,Route A,text
3291,35,270,0.28,0.1,neutral,16,Morning,14,56.46,Low,Route A,text
49238,3556,6452,0.25,0.07,neutral,68,Night,67,332.11,Low,Route A,text
1596,80,120,0.06,0.04,positive,13,Afternoon,58,5.57,High,Route C,text
40088,2272,3379,0.08,0.13,negative,60,Morning,90,223.07,Medium,Route B,image
39365,1255,6357,0.26,0.07,neutral,43,Afternoon,97,274.86,Medium,Route B,text
24396,283,853,0.25,0.04,positive,20,Afternoon,41,159.31,Medium,Route B,image
1673,43,117,0.2,0.07,neutral,10,Afternoon,25,43.16,Low,Route C,text
31894,2750,883,0.57,0.02,positive,44,Afternoon,124,214.91,High,Route A,spam
24433,1386,4369,0.54,0.01,positive,28,Night,108,220.35,High,Route C,text
5119,15,969,0.57,0.1,negative,14,Morning,38,99.65,Medium,Route C,spam
39907,2169,2669,0.24,0.02,positive,60,Evening,53,234.13,Low,Route C,text
34958,3089,4893,0.41,0.2,negative,49,Night,35,254.89,Medium,Route C,text
10323,253,1533,0.27,0.1,negative,29,Evening,18,111.39,Low,Route A,video
3544,208,297,0.48,0.11,negative,10,Evening,90,69.22,High,Route C,image
1298,58,112,0.08,0.16,negative,10,Evening,49,20.06,Medium,Route B,text
47746,2172,6191,0.18,0.02,positive,57,Morning,36,328.48,Medium,Route B,image
9179,578,810,0.17,0.25,negative,10,Afternoon,115,82.94,High,Route C,text
23219,1358,4387,0.19,0.06,neutral,36,Afternoon,48,184.97,Low,Route A,text
33081,3101,6330,0.07,0.18,negative,38,Evening,79,249.57,Medium,Route B,text
31770,1286,3543,0.21,0.1,neutral,35,Afternoon,45,212.76,Medium,Route C,image
27165,2343,4259,0.16,0.09,neutral,49,Evening,34,201.66,Medium,Route C,text
38661,2113,6832,0.44,0.04,neutral,48,Morning,66,311.69,Medium,Route B,text
49459,2986,8436,0.09,0.02,positive,67,Morning,180,328.83,High,Route C,text
44146,2483,3453,0.26,0.04,neutral,42,Evening,96,263.16,Medium,Route C,text
48501,684,5819,0.54,0.09,neutral,59,Night,45,365.22,Low,Route A,text
36583,2929,4766,0.1,0.05,neutral,36,Night,127,247.21,High,Route C,text
38202,3270,1955,0.38,0.22,negative,37,Evening,34,241.36,Low,Route A,text
32469,361,1591,0.27,0.21,negative,44,Evening,53,198.82,Medium,Route A,image
48699,4189,6927,0.46,0.05,positive,75,Morning,46,347.03,Low,Route A,text
48142,1050,2055,0.26,0.05,positive,44,Night,19,297.75,Low,Route A,text
13710,888,496,0.09,0.09,neutral,10,Night,22,93.84,Low,Route A,text
41141,3431,8182,0.54,0.21,negative,77,Night,45,328.39,Low,Route A,spam
37437,2061,2006,0.32,0.22,negative,31,Evening,47,255.8,Low,Route C,text
18587,782,832,0.06,0.24,negative,27,Night,97,89.85,High,Route A,spam
4174,115,91,0.17,0.12,negative,18,Night,113,46.32,High,Route A,image
18487,1552,1469,0.13,0.13,negative,20,Night,71,114.27,High,Route C,text
18322,1429,3448,0.53,0.21,negative,27,Evening,68,166.63,High,Route B,text
48268,4482,6070,0.18,0.05,neutral,53,Night,28,322.05,Low,Route A,text
29298,2708,2191,0.46,0.04,positive,46,Afternoon,157,207.01,High,Route C,text
21309,1395,1487,0.41,0.05,neutral,25,Afternoon,20,173.75,Low,Route A,text
8439,137,1453,0.43,0.13,negative,26,Evening,74,105.81,Medium,Route C,text
22071,1593,4146,0.34,0.18,negative,32,Morning,41,188.0,Medium,Route B,image
29574,1488,1169,0.55,0.06,neutral,24,Night,32,215.87,Low,Route A,text
25208,1966,1901,0.22,0.1,neutral,32,Evening,26,177.02,Low,Route A,text
22185,2061,724,0.34,0.2,negative,13,Evening,10,167.42,Low,Route A,text
43374,3216,5573,0.42,0.04,positive,49,Afternoon,132,318.27,High,Route C,video
23223,139,3498,0.51,0.18,negative,19,Afternoon,36,216.19,Low,Route A,image
8710,176,1129,0.15,0.21,negative,10,Afternoon,25,55.51,Medium,Route A,text
43918,2201,7074,0.59,0.06,neutral,57,Evening,95,342.47,Medium,Route C,text
11125,964,1987,0.41,0.02,positive,21,Evening,102,124.73,High,Route C,image
42797,727,5206,0.32,0.06,neutral,54,Afternoon,39,278.76,Low,Route A,image
36550,1927,4328,0.13,0.19,negative,37,Evening,52,253.19,Medium,Route B,video
45094,3901,1300,0.54,0.25,negative,51,Evening,52,298.69,Medium,Route B,image
40184,1160,1944,0.22,0.23,negative,44,Evening,44,241.52,Low,Route C,text
6189,293,223,0.3,0.11,negative,10,Night,26,56.17,Medium,Route A,text
34109,1226,4787,0.3,0.23,negative,35,Evening,51,258.2,Medium,Route C,video
9758,876,780,0.42,0.07,neutral,10,Morning,31,83.68,Low,Route A,image
9532,838,1835,0.16,0.21,negative,16,Evening,28,94.06,Low,Route A,image
13886,756,607,0.25,0.07,neutral,29,Night,37,96.3,Medium,Route B,video
48831,600,7099,0.08,0.03,positive,66,Night,39,314.37,Low,Route A,image
32365,2084,6147,0.08,0.02,positive,64,Afternoon,26,240.29,Low,Route A,image
16159,379,2032,0.26,0.05,neutral,23,Night,73,122.24,High,Route C,spam
42282,3284,4077,0.09,0.04,positive,46,Evening,58,244.82,Medium,Route B,image
46810,2432,5184,0.21,0.04,positive,54,Night,130,288.69,High,Route B,text
9499,505,863,0.39,0.16,negative,15,Night,29,85.72,Low,Route A,image
23420,2047,4593,0.38,0.08,neutral,44,Morning,74,204.88,Medium,Route C,text
30067,2294,4592,0.6,0.05,positive,37,Night,32,243.8,Medium,Route B,spam
37487,1407,1467,0.39,0.1,negative,29,Evening,75,248.13,High,Route C,text
25075,115,4487,0.4,0.08,negative,29,Night,34,229.77,Low,Route A,text
1340,79,215,0.12,0.09,negative,13,Morning,22,28.55,Low,Route A,text
5120,468,132,0.2,0.02,positive,10,Afternoon,126,35.04,High,Route B,text
5752,396,511,0.05,0.17,negative,19,Night,14,56.21,Low,Route A,text
33203,3312,6100,0.29,0.03,positive,51,Evening,50,248.25,Low,Route A,text
45726,670,1684,0.1,0.03,positive,46,Night,24,252.38,Low,Route B,image
42162,4043,3989,0.15,0.07,neutral,60,Morning,57,264.47,Low,Route A,text
25680,1750,764,0.4,0.1,negative,14,Afternoon,68,171.0,High,Route A,image
7782,239,525,0.37,0.03,neutral,14,Night,134,76.94,High,Route C,text
27880,2774,1063,0.37,0.01,positive,32,Night,33,182.13,Low,Route A,video
43141,1183,6270,0.48,0.16,negative,75,Morning,115,326.56,Medium,Route B,text
14024,37,1301,0.14,0.05,neutral,10,Afternoon,33,92.52,Medium,Route C,text
49832,4937,8232,0.45,0.02,positive,71,Evening,108,376.79,Medium,Route B,image
15118,1117,2317,0.23,0.06,neutral,11,Afternoon,26,117.7,Medium,Route A,text
29314,1712,822,0.31,0.16,negative,43,Morning,98,166.14,High,Route C,image
10140,142,1420,0.24,0.05,neutral,25,Evening,18,86.4,Low,Route C,text
30593,2170,1168,0.22,0.23,negative,23,Evening,42,201.47,Medium,Route A,text
37229,1438,6216,0.32,0.03,positive,43,Evening,31,282.04,Low,Route B,text
39543,3009,2638,0.24,0.07,neutral,42,Night,55,264.83,Medium,Route A,text
35744,1910,1858,0.34,0.16,negative,44,Afternoon,82,226.78,High,Route C,image
48490,1610,7279,0.36,0.05,positive,67,Night,92,356.83,Medium,Route C,spam
5598,362,586,0.13,0.05,positive,10,Morning,49,53.74,High,Route A,image
9748,700,1394,0.45,0.01,positive,13,Afternoon,71,117.11,Medium,Route B,text
25246,1820,4281,0.32,0.05,positive,37,Night,27,186.55,Low,Route B,video
34691,2920,4594,0.3,0.04,neutral,59,Evening,44,254.34,Medium,Route C,image
8958,602,415,0.11,0.05,neutral,14,Evening,71,72.13,High,Route C,text
2264,196,287,0.52,0.13,negative,17,Afternoon,27,81.23,Low,Route A,text
33014,1453,4022,0.33,0.09,neutral,53,Afternoon,92,233.02,Medium,Route A,text
3205,160,202,0.5,0.09,neutral,10,Afternoon,33,77.09,Medium,Route C,video
28067,1238,845,0.44,0.07,neutral,32,Evening,28,186.42,Low,Route A,text
5336,460,523,0.26,0.15,negative,10,Night,18,76.32,Medium,Route C,text
37229,1924,5349,0.12,0.23,negative,52,Evening,44,242.72,Low,Route A,spam
26767,1583,785,0.52,0.09,negative,16,Afternoon,38,186.83,Low,Route A,video
15204,737,359,0.55,0.09,neutral,14,Afternoon,16,134.76,Low,Route A,text
3387,236,181,0.05,0.04,positive,10,Afternoon,11,28.51,Low,Route A,text
17926,443,2228,0.27,0.24,negative,23,Afternoon,36,132.69,Low,Route A,text
49440,2980,6427,0.06,0.24,negative,80,Night,119,313.06,High,Route C,text
32441,2527,2052,0.29,0.17,negative,48,Evening,86,198.26,High,Route C,text
35593,833,6032,0.46,0.02,positive,66,Afternoon,59,289.02,Low,Route A,image
24431,1227,4132,0.48,0.09,negative,31,Evening,36,218.92,Medium,Route B,text
15100,905,1086,0.24,0.01,positive,12,Evening,33,112.3,Medium,Route B,text
36683,3369,6492,0.15,0.07,neutral,44,Evening,47,270.12,Low,Route A,text
9261,866,1404,0.2,0.23,negative,10,Night,43,73.48,Medium,Route C,video
23853,2118,3807,0.07,0.08,neutral,45,Morning,76,158.76,Medium,Route B,text
39972,891,4024,0.32,0.09,neutral,52,Afternoon,65,287.44,Medium,Route B,text
49107,1859,7801,0.56,0.05,neutral,68,Night,69,374.3,Medium,Route C,text
35649,1345,6200,0.46,0.18,negative,48,Evening,120,287.78,High,Route C,text
4157,396,262,0.08,0.2,negative,12,Morning,38,20.81,Low,Route B,text
32889,3203,3021,0.3,0.02,positive,48,Morning,108,235.0,High,Route C,text
12773,301,373,0.19,0.04,neutral,10,Night,52,82.86,High,Route C,image
31068,804,2097,0.49,0.24,negative,50,Morning,103,224.87,Medium,Route C,text
49281,202,3965,0.33,0.04,neutral,48,Afternoon,51,305.69,Low,Route A,text
37462,1462,5092,0.34,0.07,neutral,65,Evening,93,263.25,Medium,Route A,text
5261,430,685,0.3,0.16,negative,10,Night,110,64.47,High,Route C,video
7058,624,1288,0.45,0.14,negative,25,Morning,51,73.77,Medium,Route A,text
5302,408,745,0.43,0.13,negative,10,Evening,14,71.51,Low,Route A,text
18412,903,1997,0.32,0.08,neutral,38,Night,109,130.5,High,Route C,text
36083,3544,5809,0.54,0.03,positive,57,Evening,73,278.36,Medium,Route C,text
35847,62,4637,0.38,0.15,negative,36,Afternoon,134,281.47,High,Route B,text
2996,271,163,0.38,0.07,neutral,10,Afternoon,15,73.89,Low,Route C,spam
26688,1871,5139,0.08,0.11,negative,37,Evening,89,181.11,High,Route A,text
38207,2988,1213,0.53,0.05,positive,43,Evening,125,256.07,High,Route C,text
6543,53,866,0.52,0.01,positive,10,Night,110,106.11,High,Route A,text
28514,2504,1572,0.4,0.15,negative,33,Morning,27,188.1,Low,Route A,text
17970,946,683,0.56,0.12,negative,26,Night,33,143.61,Low,Route B,text
32713,540,1382,0.07,0.09,negative,37,Night,51,180.75,Low,Route A,video
47965,4148,1937,0.51,0.03,positive,45,Night,60,292.17,Medium,Route C,video
40384,3558,2970,0.28,0.05,neutral,35,Morning,49,247.75,Medium,Route C,image
46319,568,7591,0.53,0.14,negative,58,Evening,168,360.82,High,Route C,image
39164,2144,2164,0.38,0.1,neutral,54,Afternoon,155,258.91,High,Route C,image
21028,46,2347,0.14,0.05,neutral,37,Evening,30,127.51,Low,Route A,spam
39588,2079,2823,0.25,0.03,positive,40,Evening,136,240.5,High,Route C,image
7384,618,1461,0.35,0.04,neutral,16,Evening,53,82.14,High,Route C,text
12240,1167,699,0.28,0.02,positive,19,Morning,26,111.32,Medium,Route B,image
48665,4743,7108,0.16,0.1,negative,82,Evening,119,339.39,Medium,Route B,text
21999,1067,1389,0.25,0.13,negative,32,Morning,24,149.46,Low,Route A,text
24916,2047,4822,0.38,0.03,positive,34,Morning,37,202.42,Low,Route A,video
4426,176,542,0.46,0.19,negative,16,Evening,39,60.26,Medium,Route A,video
36079,1643,3057,0.26,0.15,negative,39,Morning,117,220.42,High,Route C,text
42703,1104,1882,0.36,0.11,negative,52,Afternoon,39,277.66,Medium,Route A,text
4768,149,150,0.3,0.03,positive,10,Evening,27,67.85,Medium,Route C,spam
21080,519,4120,0.12,0.02,positive,23,Night,44,165.62,Medium,Route A,spam
